category,sub_category,arrest_made,latitude,longitude
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.867096466,-87.724000378
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.787529202,-87.723005355
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.787651399,-87.700948315
ROBBERY,ARMED: HANDGUN,Y,41.895101237,-87.684378568
BATTERY,AGGRAVATED: HANDGUN,N,41.911493772,-87.771537341
ROBBERY,ARMED: HANDGUN,N,41.939297628,-87.710750677
BATTERY,AGGRAVATED: HANDGUN,N,41.763170869,-87.629002073
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.912543336,-87.69461022
ASSAULT,AGGRAVATED: HANDGUN,N,41.763592688,-87.66374947
BATTERY,AGGRAVATED: HANDGUN,N,41.901531124,-87.721391968
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.877207604,-87.716024379
ROBBERY,ARMED: HANDGUN,N,41.909861988,-87.728002397
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.732931365,-87.545727176
ROBBERY,ARMED: HANDGUN,N,41.875260744,-87.726096551
ROBBERY,ARMED: HANDGUN,N,41.830954079,-87.630703226
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.746704306,-87.605110156
ROBBERY,ARMED: HANDGUN,N,41.86029057,-87.715243677
ROBBERY,ARMED: HANDGUN,N,41.840764813,-87.632948273
ROBBERY,ARMED: HANDGUN,Y,41.894475919,-87.702169158
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.714538694,-87.573395931
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.781203314,-87.615649592
ASSAULT,AGGRAVATED: HANDGUN,N,41.80598724,-87.66246828
ASSAULT,AGGRAVATED: HANDGUN,N,41.952525742,-87.71042712
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.895361374,-87.726431415
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.875690707,-87.760097428
BATTERY,AGGRAVATED: HANDGUN,N,41.715680818,-87.643058205
BATTERY,AGGRAVATED: HANDGUN,N,41.716985994,-87.653457545
ASSAULT,AGGRAVATED: HANDGUN,Y,41.90938466,-87.765089988
BATTERY,AGGRAVATED: HANDGUN,N,41.907336255,-87.710363324
ROBBERY,ARMED: HANDGUN,N,41.809411251,-87.674650831
ROBBERY,ARMED: HANDGUN,N,41.826930728,-87.704524482
ROBBERY,ARMED: HANDGUN,Y,41.707062135,-87.631482564
ASSAULT,AGGRAVATED: HANDGUN,N,41.751268186,-87.60599308
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.879492192,-87.746113289
ASSAULT,AGGRAVATED: HANDGUN,N,41.788238689,-87.671714127
BATTERY,AGGRAVATED: HANDGUN,N,41.722412673,-87.579728217
ASSAULT,AGGRAVATED: HANDGUN,N,41.809342727,-87.619098999
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.692420967,-87.636866555
ASSAULT,AGGRAVATED: HANDGUN,N,41.775061419,-87.671380314
ASSAULT,AGGRAVATED: HANDGUN,Y,41.801533278,-87.648977629
BATTERY,AGGRAVATED: HANDGUN,N,41.848848115,-87.692906249
ROBBERY,ARMED: HANDGUN,N,41.722610856,-87.660281232
ROBBERY,ARMED: HANDGUN,Y,41.781870179,-87.597859754
BATTERY,AGGRAVATED: HANDGUN,N,41.848619268,-87.734415876
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.78742694,-87.621758727
ASSAULT,AGGRAVATED: HANDGUN,N,41.91893023,-87.781638975
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.862040051,-87.71042141
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.86640116,-87.705973505
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.654363697,-87.603886182
ASSAULT,AGGRAVATED: HANDGUN,N,41.851921775,-87.693906994
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.771998459,-87.58629661
ASSAULT,AGGRAVATED: HANDGUN,N,41.775119261,-87.647095508
ASSAULT,AGGRAVATED: HANDGUN,N,41.849012099,-87.73554634
ROBBERY,ARMED: HANDGUN,N,41.819329274,-87.62310422
ROBBERY,ARMED: HANDGUN,N,41.793797651,-87.655543461
BATTERY,AGGRAVATED: HANDGUN,Y,41.905025355,-87.709305775
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.789783246,-87.709900351
ROBBERY,ARMED: HANDGUN,N,41.837755675,-87.713390871
ROBBERY,ARMED: HANDGUN,N,41.901280197,-87.733648522
ROBBERY,ARMED: HANDGUN,N,41.721358693,-87.633960734
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.751305454,-87.60364723
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.72831222,-87.643399249
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.780620122,-87.65331375
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.722399492,-87.604487196
BATTERY,AGGRAVATED: HANDGUN,N,41.677551365,-87.660692358
BATTERY,AGGRAVATED: HANDGUN,N,41.965282415,-87.71938134
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.874129653,-87.74338286
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.67566405,-87.631003852
ROBBERY,ARMED: HANDGUN,N,41.818853935,-87.699460137
ROBBERY,ARMED: HANDGUN,N,41.866428839,-87.703509785
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.882083229,-87.752681184
ROBBERY,ARMED: HANDGUN,N,41.946200409,-87.778955781
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.755213451,-87.632765035
ROBBERY,ARMED: HANDGUN,N,41.696868557,-87.542564289
ROBBERY,ATTEMPT: ARMED-HANDGUN,N,41.751821289,-87.559590955
OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,Y,41.748677997,-87.60389686
BATTERY,AGGRAVATED: HANDGUN,N,41.780782295,-87.667886045
ASSAULT,AGGRAVATED: HANDGUN,N,41.738642597,-87.64124783
ROBBERY,ATTEMPT: ARMED-HANDGUN,Y,41.751422793,-87.66346551
BATTERY,AGGRAVATED: HANDGUN,N,41.946216298,-87.707812499
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.763611897,-87.663749271
ROBBERY,ARMED: HANDGUN,N,41.882359401,-87.755748665
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,Y,41.731056255,-87.560979576
ASSAULT,AGGRAVATED: HANDGUN,N,41.706325824,-87.640389673
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.763484107,-87.637623404
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.905314212,-87.689550349
ASSAULT,AGGRAVATED: HANDGUN,N,41.715827917,-87.565872179
ASSAULT,AGGRAVATED: HANDGUN,N,41.853127184,-87.719174068
ASSAULT,AGGRAVATED: HANDGUN,N,41.76426565,-87.648028576
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,41.681979819,-87.645699186
ROBBERY,ARMED: HANDGUN,N,42.008759543,-87.686547192
ASSAULT,AGGRAVATED: HANDGUN,N,41.784975104,-87.661206043
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,41.88545144,-87.711975161
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Y,41.872901275,-87.694340478
BATTERY,AGGRAVATED: HANDGUN,N,41.909392126,-87.764380883
